timestamp,hour,dam_lmp,rtm_lmp,date,note
2025-12-25 00:00:00,0,43.96,44.72,2025-12-25,[PROXY DATA]
2025-12-25 01:00:00,1,23.04,28.83,2025-12-25,[PROXY DATA]
2025-12-25 02:00:00,2,32.47,27.61,2025-12-25,[PROXY DATA]
2025-12-25 03:00:00,3,42.98,44.82,2025-12-25,[PROXY DATA]
2025-12-25 04:00:00,4,21.89,25.67,2025-12-25,[PROXY DATA]
2025-12-25 05:00:00,5,21.89,22.27,2025-12-25,[PROXY DATA]
2025-12-25 06:00:00,6,49.35,57.2,2025-12-25,[PROXY DATA]
2025-12-25 07:00:00,7,43.41,57.17,2025-12-25,[PROXY DATA]
2025-12-25 08:00:00,8,32.37,32.14,2025-12-25,[PROXY DATA]
2025-12-25 09:00:00,9,48.31,49.99,2025-12-25,[PROXY DATA]
2025-12-25 10:00:00,10,24.84,25.0,2025-12-25,[PROXY DATA]
2025-12-25 11:00:00,11,24.81,26.1,2025-12-25,[PROXY DATA]
2025-12-25 12:00:00,12,33.3,42.6,2025-12-25,[PROXY DATA]
2025-12-25 13:00:00,13,7.44,7.68,2025-12-25,[PROXY DATA]
2025-12-25 14:00:00,14,9.7,9.27,2025-12-25,[PROXY DATA]
2025-12-25 15:00:00,15,46.45,44.67,2025-12-25,[PROXY DATA]
2025-12-25 16:00:00,16,56.25,54.37,2025-12-25,[PROXY DATA]
2025-12-25 17:00:00,17,87.37,99.25,2025-12-25,[PROXY DATA]
2025-12-25 18:00:00,18,61.3,57.98,2025-12-25,[PROXY DATA]
2025-12-25 19:00:00,19,32.45,29.51,2025-12-25,[PROXY DATA]
2025-12-25 20:00:00,20,51.79,55.12,2025-12-25,[PROXY DATA]
2025-12-25 21:00:00,21,29.59,28.9,2025-12-25,[PROXY DATA]
2025-12-25 22:00:00,22,31.21,36.73,2025-12-25,[PROXY DATA]
2025-12-25 23:00:00,23,11.4,16.78,2025-12-25,[PROXY DATA]
2025-12-26 00:00:00,0,31.47,27.45,2025-12-26,[PROXY DATA]
2025-12-26 01:00:00,1,26.03,29.96,2025-12-26,[PROXY DATA]
2025-12-26 02:00:00,2,10.89,8.88,2025-12-26,[PROXY DATA]
2025-12-26 03:00:00,3,29.21,36.52,2025-12-26,[PROXY DATA]
2025-12-26 04:00:00,4,17.49,16.7,2025-12-26,[PROXY DATA]
2025-12-26 05:00:00,5,21.2,20.52,2025-12-26,[PROXY DATA]
2025-12-26 06:00:00,6,23.18,22.99,2025-12-26,[PROXY DATA]
2025-12-26 07:00:00,7,56.43,47.86,2025-12-26,[PROXY DATA]
2025-12-26 08:00:00,8,37.84,44.03,2025-12-26,[PROXY DATA]
2025-12-26 09:00:00,9,29.11,28.69,2025-12-26,[PROXY DATA]
2025-12-26 10:00:00,10,40.27,41.41,2025-12-26,[PROXY DATA]
2025-12-26 11:00:00,11,15.75,11.94,2025-12-26,[PROXY DATA]
2025-12-26 12:00:00,12,32.91,41.67,2025-12-26,[PROXY DATA]
2025-12-26 13:00:00,13,6.88,6.54,2025-12-26,[PROXY DATA]
2025-12-26 14:00:00,14,14.46,19.73,2025-12-26,[PROXY DATA]
2025-12-26 15:00:00,15,55.56,59.3,2025-12-26,[PROXY DATA]
2025-12-26 16:00:00,16,77.26,55.08,2025-12-26,[PROXY DATA]
2025-12-26 17:00:00,17,85.66,91.21,2025-12-26,[PROXY DATA]
2025-12-26 18:00:00,18,70.81,80.97,2025-12-26,[PROXY DATA]
2025-12-26 19:00:00,19,45.79,42.67,2025-12-26,[PROXY DATA]
2025-12-26 20:00:00,20,16.46,20.77,2025-12-26,[PROXY DATA]
2025-12-26 21:00:00,21,23.66,21.57,2025-12-26,[PROXY DATA]
2025-12-26 22:00:00,22,24.87,19.14,2025-12-26,[PROXY DATA]
2025-12-26 23:00:00,23,41.19,37.34,2025-12-26,[PROXY DATA]
2025-12-27 00:00:00,0,34.52,44.46,2025-12-27,[PROXY DATA]
2025-12-27 01:00:00,1,-1.4,-1.63,2025-12-27,[PROXY DATA]
2025-12-27 02:00:00,2,23.65,19.07,2025-12-27,[PROXY DATA]
