hour,dam_lmp,rtm_lmp,load_mw,wind_mw,solar_mw,date,note
0,22.50,19.80,42000,18500,0,2023-08-14,Mon overnight low
1,20.10,17.50,40500,19200,0,2023-08-14,
2,18.75,16.20,39200,19800,0,2023-08-14,
3,17.90,15.80,38800,20100,0,2023-08-14,
4,19.25,18.10,39500,19500,0,2023-08-14,
5,24.50,22.80,41200,17800,200,2023-08-14,pre-dawn ramp
6,32.00,30.50,44500,15200,2800,2023-08-14,morning ramp
7,45.00,48.20,48200,12500,6500,2023-08-14,
8,52.30,55.10,52800,10800,11200,2023-08-14,solar ramp
9,48.50,44.20,55200,9500,15800,2023-08-14,solar suppression
10,42.10,38.50,56800,8800,18500,2023-08-14,midday solar peak
11,38.20,35.80,57500,8200,19800,2023-08-14,
12,36.50,33.90,57800,7900,20200,2023-08-14,solar max / price dip
13,40.80,43.50,58200,8500,19500,2023-08-14,
14,55.20,62.30,60500,9200,17800,2023-08-14,afternoon heat ramp
15,78.50,95.20,63200,10800,14200,2023-08-14,AC load surge
16,125.00,185.50,66800,11500,9800,2023-08-14,evening peak begins
17,210.00,380.00,68500,12200,5200,2023-08-14,scarcity pricing
18,185.00,290.00,67200,13800,1800,2023-08-14,
19,95.00,120.50,64500,15200,200,2023-08-14,sunset duck curve
20,62.50,58.80,60200,16800,0,2023-08-14,evening wind ramp
21,45.20,42.50,55800,17500,0,2023-08-14,
22,32.80,30.20,50200,18200,0,2023-08-14,
23,25.50,23.10,45500,18800,0,2023-08-14,
0,21.80,18.50,41500,19000,0,2023-08-15,Tue overnight
1,19.50,16.80,40000,19500,0,2023-08-15,
2,18.20,15.50,38500,20000,0,2023-08-15,
3,17.50,15.20,38200,20400,0,2023-08-15,
4,18.80,17.50,39000,19800,0,2023-08-15,
5,23.80,21.90,40800,18200,150,2023-08-15,
6,31.20,29.80,44000,15500,2500,2023-08-15,
7,44.00,46.50,47800,12800,6200,2023-08-15,
8,50.80,53.20,52200,11000,10800,2023-08-15,
9,47.20,43.50,54800,9800,15200,2023-08-15,
10,41.50,37.80,56200,9000,18000,2023-08-15,
11,37.80,35.20,57000,8500,19500,2023-08-15,
12,35.90,33.20,57200,8100,20000,2023-08-15,
13,39.50,42.80,57800,8800,19200,2023-08-15,
14,53.80,60.50,60000,9500,17500,2023-08-15,
15,75.20,90.80,62500,10500,13800,2023-08-15,
16,118.00,175.00,66000,11200,9500,2023-08-15,
17,195.00,350.00,67800,12000,5000,2023-08-15,
18,175.00,270.00,66500,13500,1500,2023-08-15,
19,88.00,110.50,63800,15000,150,2023-08-15,
20,58.50,55.20,59500,16500,0,2023-08-15,
21,42.80,40.50,55000,17200,0,2023-08-15,
22,31.50,28.80,49500,18000,0,2023-08-15,
23,24.20,22.00,45000,18500,0,2023-08-15,
0,23.20,20.50,42500,17800,0,2023-08-16,Wed — hotter day
1,20.80,18.20,41000,18500,0,2023-08-16,
2,19.50,17.00,39800,19200,0,2023-08-16,
3,18.50,16.50,39200,19800,0,2023-08-16,
4,20.00,18.80,40000,19200,0,2023-08-16,
5,25.80,24.20,42000,17000,300,2023-08-16,
6,34.50,33.00,45500,14500,3200,2023-08-16,
7,48.00,52.50,49500,11800,7000,2023-08-16,
8,56.80,60.20,54200,10200,12000,2023-08-16,
9,52.00,48.50,57000,9000,16500,2023-08-16,
10,45.50,41.20,58500,8200,19200,2023-08-16,
11,41.00,38.50,59200,7800,20500,2023-08-16,
12,39.20,36.80,59500,7500,20800,2023-08-16,
13,44.50,48.00,60000,8000,20000,2023-08-16,
14,62.00,72.50,62500,8800,18200,2023-08-16,heat advisory
15,98.00,135.00,65800,10000,14800,2023-08-16,
16,185.00,420.00,69500,11000,10200,2023-08-16,near-scarcity event
17,350.00,2250.00,71200,11800,5500,2023-08-16,PRICE SPIKE — grid stress
18,280.00,1800.00,70000,13000,2000,2023-08-16,conservation appeal issued
19,145.00,250.00,67000,14800,300,2023-08-16,
20,82.00,75.50,62500,16200,0,2023-08-16,
