timestamp,Actual_MW,Theoretical_MW,PML_USD
2026-02-01 00:00:00,0.0,0.0,31.0
2026-02-01 00:15:00,0.0,0.0,29.89
2026-02-01 00:30:00,0.0,0.0,28.82
2026-02-01 00:45:00,0.0,0.0,27.81
2026-02-01 01:00:00,0.0,0.0,26.86
2026-02-01 01:15:00,0.0,0.0,25.96
2026-02-01 01:30:00,0.0,0.0,25.13
2026-02-01 01:45:00,0.0,0.0,506.04
2026-02-01 02:00:00,0.0,0.0,23.68
2026-02-01 02:15:00,0.0,0.0,23.06
2026-02-01 02:30:00,0.0,0.0,22.52
2026-02-01 02:45:00,0.0,0.0,22.06
2026-02-01 03:00:00,0.0,0.0,503.35
2026-02-01 03:15:00,0.0,0.0,21.38
2026-02-01 03:30:00,0.0,0.0,21.17
2026-02-01 03:45:00,0.0,0.0,21.04
2026-02-01 04:00:00,0.0,0.0,21.0
2026-02-01 04:15:00,0.0,0.0,21.04
2026-02-01 04:30:00,0.0,0.0,21.17
2026-02-01 04:45:00,0.0,0.0,21.38
2026-02-01 05:00:00,0.0,0.0,21.68
2026-02-01 05:15:00,0.0,0.0,503.73
2026-02-01 05:30:00,0.0,0.0,22.52
2026-02-01 05:45:00,0.0,0.0,23.06
2026-02-01 06:00:00,0.0,0.0,23.68
2026-02-01 06:15:00,7.8,8.36,24.37
2026-02-01 06:30:00,14.79,16.27,25.13
2026-02-01 06:45:00,23.34,25.22,25.96
2026-02-01 07:00:00,32.27,34.36,26.86
2026-02-01 07:15:00,36.41,41.15,27.81
2026-02-01 07:30:00,38.6,53.19,510.5
2026-02-01 07:45:00,55.31,58.57,29.89
2026-02-01 08:00:00,61.74,66.13,31.0
2026-02-01 08:15:00,59.89,65.97,32.15
2026-02-01 08:30:00,63.09,84.13,515.02
2026-02-01 08:45:00,80.27,85.54,34.57
2026-02-01 09:00:00,80.1,87.67,35.82
2026-02-01 09:15:00,87.81,97.2,37.1
2026-02-01 09:30:00,78.77,108.09,520.06
2026-02-01 09:45:00,92.65,101.47,39.69
2026-02-01 10:00:00,96.75,103.33,41.0
2026-02-01 10:15:00,106.23,117.14,42.31
2026-02-01 10:30:00,86.07,122.49,525.28
2026-02-01 10:45:00,119.51,131.59,44.9
2026-02-01 11:00:00,96.43,131.43,527.85
2026-02-01 11:15:00,117.86,130.33,47.43
2026-02-01 11:30:00,117.05,132.12,48.65
2026-02-01 11:45:00,119.51,127.82,49.85
2026-02-01 12:00:00,109.53,121.09,51.0
2026-02-01 12:15:00,114.51,122.28,52.11
2026-02-01 12:30:00,110.69,126.87,53.18
2026-02-01 12:45:00,118.08,128.56,54.19
2026-02-01 13:00:00,123.23,129.76,55.14
2026-02-01 13:15:00,115.87,128.22,56.04
2026-02-01 13:30:00,107.55,113.03,56.87
2026-02-01 13:45:00,102.5,112.09,57.63
2026-02-01 14:00:00,101.41,110.53,58.32
2026-02-01 14:15:00,98.7,108.02,58.94
2026-02-01 14:30:00,80.98,89.91,59.48
2026-02-01 14:45:00,93.98,99.14,59.94
2026-02-01 15:00:00,94.24,101.59,60.32
2026-02-01 15:15:00,77.89,86.9,60.62
2026-02-01 15:30:00,75.15,78.21,60.83
2026-02-01 15:45:00,75.32,81.53,60.96
2026-02-01 16:00:00,57.58,60.56,61.0
2026-02-01 16:15:00,58.71,61.69,60.96
2026-02-01 16:30:00,49.91,53.25,60.83
2026-02-01 16:45:00,43.54,47.59,60.62
2026-02-01 17:00:00,24.39,33.68,541.99
2026-02-01 17:15:00,19.3,26.54,541.61
2026-02-01 17:30:00,16.26,17.14,59.48
2026-02-01 17:45:00,6.54,8.8,540.61
2026-02-01 18:00:00,0.0,0.0,58.32
2026-02-01 18:15:00,0.0,0.0,539.3
2026-02-01 18:30:00,0.0,0.0,538.54
2026-02-01 18:45:00,0.0,0.0,56.04
2026-02-01 19:00:00,0.0,0.0,536.82
2026-02-01 19:15:00,0.0,0.0,54.19
2026-02-01 19:30:00,0.0,0.0,53.18
2026-02-01 19:45:00,0.0,0.0,52.11
2026-02-01 20:00:00,0.0,0.0,51.0
2026-02-01 20:15:00,0.0,0.0,49.85
2026-02-01 20:30:00,0.0,0.0,48.65
2026-02-01 20:45:00,0.0,0.0,47.43
2026-02-01 21:00:00,0.0,0.0,46.18
2026-02-01 21:15:00,0.0,0.0,526.58
2026-02-01 21:30:00,0.0,0.0,43.61
2026-02-01 21:45:00,0.0,0.0,42.31
2026-02-01 22:00:00,0.0,0.0,522.67
2026-02-01 22:15:00,0.0,0.0,39.69
2026-02-01 22:30:00,0.0,0.0,38.39
2026-02-01 22:45:00,0.0,0.0,37.1
2026-02-01 23:00:00,0.0,0.0,35.82
2026-02-01 23:15:00,0.0,0.0,34.57
2026-02-01 23:30:00,0.0,0.0,33.35
2026-02-01 23:45:00,0.0,0.0,32.15
2026-02-02 00:00:00,0.0,0.0,31.0
2026-02-02 00:15:00,0.0,0.0,29.89
2026-02-02 00:30:00,0.0,0.0,28.82
2026-02-02 00:45:00,0.0,0.0,509.49
2026-02-02 01:00:00,0.0,0.0,26.86
2026-02-02 01:15:00,0.0,0.0,25.96
2026-02-02 01:30:00,0.0,0.0,25.13
2026-02-02 01:45:00,0.0,0.0,24.37
2026-02-02 02:00:00,0.0,0.0,23.68
2026-02-02 02:15:00,0.0,0.0,23.06
2026-02-02 02:30:00,0.0,0.0,504.2
2026-02-02 02:45:00,0.0,0.0,22.06
2026-02-02 03:00:00,0.0,0.0,21.68
2026-02-02 03:15:00,0.0,0.0,21.38
2026-02-02 03:30:00,0.0,0.0,21.17
2026-02-02 03:45:00,0.0,0.0,21.04
2026-02-02 04:00:00,0.0,0.0,21.0
2026-02-02 04:15:00,0.0,0.0,502.72
2026-02-02 04:30:00,0.0,0.0,21.17
2026-02-02 04:45:00,0.0,0.0,21.38
2026-02-02 05:00:00,0.0,0.0,21.68
2026-02-02 05:15:00,0.0,0.0,22.06
2026-02-02 05:30:00,0.0,0.0,504.2
2026-02-02 05:45:00,0.0,0.0,23.06
2026-02-02 06:00:00,0.0,0.0,23.68
2026-02-02 06:15:00,7.57,8.31,24.37
2026-02-02 06:30:00,15.99,17.53,25.13
2026-02-02 06:45:00,22.71,25.22,25.96
2026-02-02 07:00:00,28.53,31.08,26.86
2026-02-02 07:15:00,39.8,41.38,27.81
2026-02-02 07:30:00,48.16,51.5,28.82
2026-02-02 07:45:00,53.86,59.38,29.89
2026-02-02 08:00:00,65.57,68.23,31.0
2026-02-02 08:15:00,60.46,65.91,32.15
2026-02-02 08:30:00,74.44,79.42,33.35
2026-02-02 08:45:00,79.46,88.91,34.57
2026-02-02 09:00:00,64.49,89.27,517.5
2026-02-02 09:15:00,90.65,95.5,37.1
2026-02-02 09:30:00,88.69,97.21,38.39
2026-02-02 09:45:00,96.15,104.16,39.69
2026-02-02 10:00:00,84.24,116.24,522.67
2026-02-02 10:15:00,109.51,115.77,42.31
2026-02-02 10:30:00,109.02,117.98,43.61
2026-02-02 10:45:00,113.81,124.85,44.9
2026-02-02 11:00:00,95.09,129.69,527.85
2026-02-02 11:15:00,85.89,120.6,529.1
2026-02-02 11:30:00,110.26,119.55,48.65
2026-02-02 11:45:00,116.84,127.18,49.85
2026-02-02 12:00:00,103.34,136.71,532.67
2026-02-02 12:15:00,115.36,125.57,52.11
2026-02-02 12:30:00,118.5,132.14,53.18
2026-02-02 12:45:00,112.84,124.19,54.19
2026-02-02 13:00:00,112.29,126.69,55.14
2026-02-02 13:15:00,114.52,123.06,56.04
2026-02-02 13:30:00,104.4,114.69,56.87
2026-02-02 13:45:00,110.39,118.66,57.63
2026-02-02 14:00:00,96.45,103.42,58.32
2026-02-02 14:15:00,103.65,117.77,58.94
2026-02-02 14:30:00,100.37,104.55,59.48
2026-02-02 14:45:00,73.6,101.24,541.61
2026-02-02 15:00:00,83.97,90.9,60.32
2026-02-02 15:15:00,72.58,82.73,60.62
2026-02-02 15:30:00,79.0,82.95,60.83
2026-02-02 15:45:00,68.95,73.95,60.96
2026-02-02 16:00:00,63.86,68.17,61.0
2026-02-02 16:15:00,52.74,58.83,60.96
