timestamp,Actual_MW,Theoretical_MW,PML_USD
2026-02-01 00:00:00,0.0,0.0,38.0
2026-02-01 00:15:00,0.0,0.0,582.16
2026-02-01 00:30:00,0.0,0.0,581.1
2026-02-01 00:45:00,0.0,0.0,34.81
2026-02-01 01:00:00,0.0,0.0,579.13
2026-02-01 01:15:00,0.0,0.0,32.96
2026-02-01 01:30:00,0.0,0.0,577.41
2026-02-01 01:45:00,0.0,0.0,31.37
2026-02-01 02:00:00,0.0,0.0,30.68
2026-02-01 02:15:00,0.0,0.0,30.06
2026-02-01 02:30:00,0.0,0.0,29.52
2026-02-01 02:45:00,0.0,0.0,29.06
2026-02-01 03:00:00,0.0,0.0,28.68
2026-02-01 03:15:00,0.0,0.0,28.38
2026-02-01 03:30:00,0.0,0.0,28.17
2026-02-01 03:45:00,0.0,0.0,28.04
2026-02-01 04:00:00,0.0,0.0,28.0
2026-02-01 04:15:00,0.0,0.0,28.04
2026-02-01 04:30:00,0.0,0.0,28.17
2026-02-01 04:45:00,0.0,0.0,28.38
2026-02-01 05:00:00,0.0,0.0,28.68
2026-02-01 05:15:00,0.0,0.0,29.06
2026-02-01 05:30:00,0.0,0.0,29.52
2026-02-01 05:45:00,0.0,0.0,575.34
2026-02-01 06:00:00,0.0,0.0,30.68
2026-02-01 06:15:00,13.04,14.27,31.37
2026-02-01 06:30:00,26.27,28.7,32.13
2026-02-01 06:45:00,37.56,41.42,32.96
2026-02-01 07:00:00,46.64,51.45,33.86
2026-02-01 07:15:00,63.48,70.95,34.81
2026-02-01 07:30:00,66.21,73.31,35.82
2026-02-01 07:45:00,88.34,96.57,36.89
2026-02-01 08:00:00,81.92,88.66,38.0
2026-02-01 08:15:00,94.41,104.16,39.15
2026-02-01 08:30:00,109.73,123.26,40.35
2026-02-01 08:45:00,124.79,134.78,41.57
2026-02-01 09:00:00,126.64,139.98,42.82
2026-02-01 09:15:00,139.64,149.56,44.1
2026-02-01 09:30:00,149.62,163.42,45.39
2026-02-01 09:45:00,121.57,173.82,591.97
2026-02-01 10:00:00,160.35,167.69,48.0
2026-02-01 10:15:00,167.08,180.43,49.31
2026-02-01 10:30:00,173.17,180.1,50.61
2026-02-01 10:45:00,179.45,196.81,51.9
2026-02-01 11:00:00,138.46,188.8,598.45
2026-02-01 11:15:00,185.49,202.62,54.43
2026-02-01 11:30:00,185.22,202.13,55.65
2026-02-01 11:45:00,175.49,189.62,56.85
2026-02-01 12:00:00,188.11,207.78,58.0
2026-02-01 12:15:00,187.52,206.24,59.11
2026-02-01 12:30:00,183.5,198.06,60.18
2026-02-01 12:45:00,175.21,198.04,61.19
2026-02-01 13:00:00,184.3,197.97,62.14
2026-02-01 13:15:00,146.24,199.59,608.31
2026-02-01 13:30:00,167.93,186.71,63.87
2026-02-01 13:45:00,163.72,178.14,64.63
2026-02-01 14:00:00,159.87,175.06,65.32
2026-02-01 14:15:00,129.62,174.52,611.21
2026-02-01 14:30:00,146.59,158.08,66.48
2026-02-01 14:45:00,114.77,153.3,612.21
2026-02-01 15:00:00,105.21,145.04,612.59
2026-02-01 15:15:00,123.76,135.29,67.62
2026-02-01 15:30:00,114.29,120.83,67.83
2026-02-01 15:45:00,107.16,117.25,67.96
2026-02-01 16:00:00,96.23,105.33,68.0
2026-02-01 16:15:00,78.14,86.95,67.96
2026-02-01 16:30:00,72.07,76.86,67.83
2026-02-01 16:45:00,59.47,65.48,67.62
2026-02-01 17:00:00,51.87,56.42,67.32
2026-02-01 17:15:00,34.29,36.84,66.94
2026-02-01 17:30:00,23.62,25.76,66.48
2026-02-01 17:45:00,11.71,12.51,65.94
2026-02-01 18:00:00,0.0,0.0,65.32
2026-02-01 18:15:00,0.0,0.0,64.63
2026-02-01 18:30:00,0.0,0.0,63.87
2026-02-01 18:45:00,0.0,0.0,63.04
2026-02-01 19:00:00,0.0,0.0,62.14
2026-02-01 19:15:00,0.0,0.0,61.19
2026-02-01 19:30:00,0.0,0.0,605.45
2026-02-01 19:45:00,0.0,0.0,59.11
2026-02-01 20:00:00,0.0,0.0,58.0
2026-02-01 20:15:00,0.0,0.0,56.85
2026-02-01 20:30:00,0.0,0.0,55.65
2026-02-01 20:45:00,0.0,0.0,54.43
2026-02-01 21:00:00,0.0,0.0,53.18
2026-02-01 21:15:00,0.0,0.0,597.17
2026-02-01 21:30:00,0.0,0.0,595.88
2026-02-01 21:45:00,0.0,0.0,49.31
2026-02-01 22:00:00,0.0,0.0,48.0
2026-02-01 22:15:00,0.0,0.0,591.97
2026-02-01 22:30:00,0.0,0.0,45.39
2026-02-01 22:45:00,0.0,0.0,44.1
2026-02-01 23:00:00,0.0,0.0,42.82
2026-02-01 23:15:00,0.0,0.0,586.84
2026-02-01 23:30:00,0.0,0.0,40.35
2026-02-01 23:45:00,0.0,0.0,39.15
2026-02-02 00:00:00,0.0,0.0,583.27
2026-02-02 00:15:00,0.0,0.0,36.89
2026-02-02 00:30:00,0.0,0.0,581.1
2026-02-02 00:45:00,0.0,0.0,34.81
2026-02-02 01:00:00,0.0,0.0,33.86
2026-02-02 01:15:00,0.0,0.0,32.96
2026-02-02 01:30:00,0.0,0.0,577.41
2026-02-02 01:45:00,0.0,0.0,31.37
2026-02-02 02:00:00,0.0,0.0,30.68
2026-02-02 02:15:00,0.0,0.0,30.06
2026-02-02 02:30:00,0.0,0.0,29.52
2026-02-02 02:45:00,0.0,0.0,29.06
2026-02-02 03:00:00,0.0,0.0,28.68
2026-02-02 03:15:00,0.0,0.0,28.38
