timestamp,Actual_MW,Theoretical_MW,PML_USD
2026-02-01 00:00:00,0.0,0.0,38.49
2026-02-01 00:15:00,0.0,0.0,36.46
2026-02-01 00:30:00,0.0,0.0,36.16
2026-02-01 00:45:00,0.0,0.0,34.23
2026-02-01 01:00:00,0.0,0.0,34.41
2026-02-01 01:15:00,0.0,0.0,32.01
2026-02-01 01:30:00,0.0,0.0,31.97
2026-02-01 01:45:00,0.0,0.0,34.34
2026-02-01 02:00:00,0.0,0.0,30.19
2026-02-01 02:15:00,0.0,0.0,31.36
2026-02-01 02:30:00,0.0,0.0,30.39
2026-02-01 02:45:00,0.0,0.0,29.58
2026-02-01 03:00:00,0.0,0.0,28.43
2026-02-01 03:15:00,0.0,0.0,31.59
2026-02-01 03:30:00,0.0,0.0,29.8
2026-02-01 03:45:00,0.0,0.0,29.2
2026-02-01 04:00:00,0.0,0.0,30.5
2026-02-01 04:15:00,0.0,0.0,31.74
2026-02-01 04:30:00,0.0,0.0,31.04
2026-02-01 04:45:00,0.0,0.0,28.37
2026-02-01 05:00:00,0.0,0.0,30.27
2026-02-01 05:15:00,0.0,0.0,30.73
2026-02-01 05:30:00,0.0,0.0,28.5
2026-02-01 05:45:00,0.0,0.0,32.01
2026-02-01 06:00:00,0.0,0.0,28.99
2026-02-01 06:15:00,0.0,0.0,32.76
2026-02-01 06:30:00,0.0,0.0,29.6
2026-02-01 06:45:00,0.0,0.0,34.39
2026-02-01 07:00:00,0.0,0.0,34.09
2026-02-01 07:15:00,0.12,0.14,34.02
2026-02-01 07:30:00,4.24,4.49,37.86
2026-02-01 07:45:00,8.24,9.12,36.16
2026-02-01 08:00:00,8.62,15.14,37.87
2026-02-01 08:15:00,17.83,20.06,469.23
2026-02-01 08:30:00,25.67,27.39,40.48
2026-02-01 08:45:00,29.39,32.47,42.0
2026-02-01 09:00:00,35.01,39.37,41.14
2026-02-01 09:15:00,41.05,44.78,43.57
2026-02-01 09:30:00,47.41,50.65,46.88
2026-02-01 09:45:00,49.77,52.55,47.7
2026-02-01 10:00:00,59.7,62.54,47.7
2026-02-01 10:15:00,45.42,61.99,45.56
2026-02-01 10:30:00,60.16,66.34,48.86
2026-02-01 10:45:00,69.24,75.75,49.68
2026-02-01 11:00:00,70.44,76.05,51.27
2026-02-01 11:15:00,67.94,75.69,53.46
2026-02-01 11:30:00,75.48,80.01,52.83
2026-02-01 11:45:00,73.19,75.57,54.63
2026-02-01 12:00:00,73.08,79.04,54.37
2026-02-01 12:15:00,65.55,73.85,56.51
2026-02-01 12:30:00,70.71,78.97,57.08
2026-02-01 12:45:00,56.2,80.19,57.83
2026-02-01 13:00:00,65.34,71.03,61.12
2026-02-01 13:15:00,63.08,71.29,60.2
2026-02-01 13:30:00,62.31,66.68,60.43
2026-02-01 13:45:00,62.72,66.63,60.2
2026-02-01 14:00:00,55.23,59.01,61.68
2026-02-01 14:15:00,54.38,57.59,62.96
2026-02-01 14:30:00,29.34,49.39,63.82
2026-02-01 14:45:00,40.36,44.96,64.67
