timestamp,Actual_MW,Theoretical_MW,PML_USD
2026-02-01 00:00:00,0.0,0.0,45.0
2026-02-01 00:15:00,0.0,0.0,43.89
2026-02-01 00:30:00,0.0,0.0,42.82
2026-02-01 00:45:00,0.0,0.0,41.81
2026-02-01 01:00:00,0.0,0.0,338.39
2026-02-01 01:15:00,0.0,0.0,39.96
2026-02-01 01:30:00,0.0,0.0,39.13
2026-02-01 01:45:00,0.0,0.0,335.91
2026-02-01 02:00:00,0.0,0.0,37.68
2026-02-01 02:15:00,0.0,0.0,37.06
2026-02-01 02:30:00,0.0,0.0,36.52
2026-02-01 02:45:00,0.0,0.0,36.06
2026-02-01 03:00:00,0.0,0.0,35.68
2026-02-01 03:15:00,0.0,0.0,35.38
2026-02-01 03:30:00,0.0,0.0,35.17
2026-02-01 03:45:00,0.0,0.0,35.04
2026-02-01 04:00:00,0.0,0.0,35.0
2026-02-01 04:15:00,0.0,0.0,35.04
2026-02-01 04:30:00,0.0,0.0,35.17
2026-02-01 04:45:00,0.0,0.0,35.38
2026-02-01 05:00:00,0.0,0.0,35.68
2026-02-01 05:15:00,0.0,0.0,36.06
2026-02-01 05:30:00,0.0,0.0,36.52
2026-02-01 05:45:00,0.0,0.0,37.06
2026-02-01 06:00:00,0.0,0.0,37.68
2026-02-01 06:15:00,3.61,3.9,38.37
2026-02-01 06:30:00,7.41,7.59,39.13
2026-02-01 06:45:00,11.7,12.44,39.96
2026-02-01 07:00:00,14.48,16.03,40.86
2026-02-01 07:15:00,17.25,18.56,41.81
2026-02-01 07:30:00,19.43,21.17,42.82
2026-02-01 07:45:00,22.04,24.05,43.89
2026-02-01 08:00:00,28.29,31.39,45.0
2026-02-01 08:15:00,29.9,33.44,46.15
2026-02-01 08:30:00,34.04,38.11,47.35
2026-02-01 08:45:00,36.93,39.7,48.57
2026-02-01 09:00:00,39.28,43.83,49.82
2026-02-01 09:15:00,43.32,45.36,51.1
2026-02-01 09:30:00,43.91,47.64,52.39
2026-02-01 09:45:00,49.39,53.44,53.69
2026-02-01 10:00:00,50.87,54.88,55.0
2026-02-01 10:15:00,48.41,51.19,56.31
2026-02-01 10:30:00,52.26,57.26,57.61
2026-02-01 10:45:00,52.55,57.71,58.9
2026-02-01 11:00:00,52.68,56.42,60.18
2026-02-01 11:15:00,52.78,57.18,61.43
2026-02-01 11:30:00,45.01,59.6,360.19
2026-02-01 11:45:00,55.72,59.42,63.85
2026-02-01 12:00:00,58.46,63.62,65.0
2026-02-01 12:15:00,52.59,58.26,66.11
2026-02-01 12:30:00,60.0,64.56,67.18
2026-02-01 12:45:00,54.15,58.28,68.19
2026-02-01 13:00:00,58.78,63.41,69.14
2026-02-01 13:15:00,52.46,58.28,70.04
2026-02-01 13:30:00,47.96,53.14,70.87
2026-02-01 13:45:00,50.16,54.23,71.63
2026-02-01 14:00:00,46.37,51.06,72.32
2026-02-01 14:15:00,46.54,50.71,72.94
2026-02-01 14:30:00,32.74,45.34,371.01
2026-02-01 14:45:00,38.34,42.66,73.94
2026-02-01 15:00:00,38.84,42.65,74.32
2026-02-01 15:15:00,35.11,38.6,74.62
2026-02-01 15:30:00,32.76,36.19,74.83
2026-02-01 15:45:00,30.71,32.48,74.96
2026-02-01 16:00:00,27.41,29.84,75.0
2026-02-01 16:15:00,23.37,25.92,74.96
2026-02-01 16:30:00,16.35,22.98,372.37
2026-02-01 16:45:00,13.92,18.57,372.15
2026-02-01 17:00:00,14.4,15.22,74.32
2026-02-01 17:15:00,10.36,11.6,73.94
2026-02-01 17:30:00,6.98,7.81,73.48
2026-02-01 17:45:00,3.5,3.89,72.94
2026-02-01 18:00:00,0.0,0.0,369.86
2026-02-01 18:15:00,0.0,0.0,71.63
2026-02-01 18:30:00,0.0,0.0,70.87
2026-02-01 18:45:00,0.0,0.0,70.04
2026-02-01 19:00:00,0.0,0.0,69.14
2026-02-01 19:15:00,0.0,0.0,68.19
2026-02-01 19:30:00,0.0,0.0,67.18
2026-02-01 19:45:00,0.0,0.0,66.11
2026-02-01 20:00:00,0.0,0.0,65.0
2026-02-01 20:15:00,0.0,0.0,361.38
2026-02-01 20:30:00,0.0,0.0,62.65
2026-02-01 20:45:00,0.0,0.0,61.43
2026-02-01 21:00:00,0.0,0.0,60.18
2026-02-01 21:15:00,0.0,0.0,58.9
2026-02-01 21:30:00,0.0,0.0,57.61
2026-02-01 21:45:00,0.0,0.0,56.31
2026-02-01 22:00:00,0.0,0.0,55.0
2026-02-01 22:15:00,0.0,0.0,53.69
2026-02-01 22:30:00,0.0,0.0,52.39
2026-02-01 22:45:00,0.0,0.0,348.64
2026-02-01 23:00:00,0.0,0.0,49.82
2026-02-01 23:15:00,0.0,0.0,48.57
2026-02-01 23:30:00,0.0,0.0,47.35
2026-02-01 23:45:00,0.0,0.0,46.15
2026-02-02 00:00:00,0.0,0.0,45.0
2026-02-02 00:15:00,0.0,0.0,43.89
2026-02-02 00:30:00,0.0,0.0,42.82
2026-02-02 00:45:00,0.0,0.0,339.35
2026-02-02 01:00:00,0.0,0.0,40.86
2026-02-02 01:15:00,0.0,0.0,39.96
2026-02-02 01:30:00,0.0,0.0,39.13
2026-02-02 01:45:00,0.0,0.0,38.37
2026-02-02 02:00:00,0.0,0.0,335.22
2026-02-02 02:15:00,0.0,0.0,37.06
2026-02-02 02:30:00,0.0,0.0,36.52
2026-02-02 02:45:00,0.0,0.0,36.06
2026-02-02 03:00:00,0.0,0.0,35.68
2026-02-02 03:15:00,0.0,0.0,35.38
2026-02-02 03:30:00,0.0,0.0,35.17
2026-02-02 03:45:00,0.0,0.0,35.04
2026-02-02 04:00:00,0.0,0.0,332.54
2026-02-02 04:15:00,0.0,0.0,35.04
2026-02-02 04:30:00,0.0,0.0,332.71
2026-02-02 04:45:00,0.0,0.0,35.38
2026-02-02 05:00:00,0.0,0.0,35.68
2026-02-02 05:15:00,0.0,0.0,36.06
2026-02-02 05:30:00,0.0,0.0,36.52
2026-02-02 05:45:00,0.0,0.0,37.06
2026-02-02 06:00:00,0.0,0.0,37.68
2026-02-02 06:15:00,3.5,3.96,38.37
2026-02-02 06:30:00,7.46,8.03,39.13
2026-02-02 06:45:00,9.88,10.88,39.96
2026-02-02 07:00:00,13.77,15.03,40.86
2026-02-02 07:15:00,17.26,18.2,41.81
2026-02-02 07:30:00,21.01,23.52,42.82
2026-02-02 07:45:00,27.51,29.89,43.89
2026-02-02 08:00:00,27.04,29.0,45.0
2026-02-02 08:15:00,29.51,32.35,46.15
2026-02-02 08:30:00,35.96,38.99,47.35
2026-02-02 08:45:00,40.11,44.05,48.57
2026-02-02 09:00:00,39.08,42.58,49.82
2026-02-02 09:15:00,41.87,47.77,51.1
2026-02-02 09:30:00,43.51,48.04,52.39
2026-02-02 09:45:00,46.13,50.7,53.69
2026-02-02 10:00:00,44.52,50.86,55.0
2026-02-02 10:15:00,48.89,53.83,56.31
2026-02-02 10:30:00,50.58,54.74,57.61
2026-02-02 10:45:00,48.53,54.08,58.9
2026-02-02 11:00:00,56.17,61.99,60.18
2026-02-02 11:15:00,50.09,54.92,61.43
2026-02-02 11:30:00,44.0,58.44,360.19
2026-02-02 11:45:00,54.06,59.46,63.85
2026-02-02 12:00:00,43.62,59.55,362.54
2026-02-02 12:15:00,58.23,61.26,66.11
2026-02-02 12:30:00,58.96,64.78,67.18
2026-02-02 12:45:00,43.17,58.65,365.72
2026-02-02 13:00:00,56.08,60.79,69.14
2026-02-02 13:15:00,50.34,53.25,70.04
2026-02-02 13:30:00,53.27,58.75,70.87
2026-02-02 13:45:00,47.44,50.1,71.63
2026-02-02 14:00:00,47.69,51.46,72.32
2026-02-02 14:15:00,43.69,46.73,72.94
2026-02-02 14:30:00,44.09,46.89,73.48
2026-02-02 14:45:00,38.99,45.17,73.94
2026-02-02 15:00:00,35.86,38.44,74.32
2026-02-02 15:15:00,38.34,42.01,74.62
2026-02-02 15:30:00,34.29,37.94,74.83
2026-02-02 15:45:00,31.26,33.65,74.96
2026-02-02 16:00:00,26.91,29.91,75.0
2026-02-02 16:15:00,25.74,27.48,74.96
2026-02-02 16:30:00,19.39,21.27,74.83
2026-02-02 16:45:00,16.16,17.86,74.62
2026-02-02 17:00:00,13.43,15.02,74.32
2026-02-02 17:15:00,11.65,11.91,73.94
2026-02-02 17:30:00,7.16,7.94,73.48
2026-02-02 17:45:00,3.64,4.05,72.94
2026-02-02 18:00:00,0.0,0.0,72.32
2026-02-02 18:15:00,0.0,0.0,71.63
2026-02-02 18:30:00,0.0,0.0,70.87
2026-02-02 18:45:00,0.0,0.0,70.04
2026-02-02 19:00:00,0.0,0.0,69.14
2026-02-02 19:15:00,0.0,0.0,68.19
2026-02-02 19:30:00,0.0,0.0,67.18
2026-02-02 19:45:00,0.0,0.0,66.11
2026-02-02 20:00:00,0.0,0.0,65.0
2026-02-02 20:15:00,0.0,0.0,63.85
2026-02-02 20:30:00,0.0,0.0,62.65
2026-02-02 20:45:00,0.0,0.0,61.43
2026-02-02 21:00:00,0.0,0.0,60.18
2026-02-02 21:15:00,0.0,0.0,58.9
2026-02-02 21:30:00,0.0,0.0,57.61
2026-02-02 21:45:00,0.0,0.0,56.31
2026-02-02 22:00:00,0.0,0.0,55.0
2026-02-02 22:15:00,0.0,0.0,53.69
2026-02-02 22:30:00,0.0,0.0,52.39
2026-02-02 22:45:00,0.0,0.0,51.1
2026-02-02 23:00:00,0.0,0.0,49.82
2026-02-02 23:15:00,0.0,0.0,48.57
2026-02-02 23:30:00,0.0,0.0,47.35
2026-02-02 23:45:00,0.0,0.0,46.15
2026-02-03 00:00:00,0.0,0.0,45.0
2026-02-03 00:15:00,0.0,0.0,43.89
2026-02-03 00:30:00,0.0,0.0,42.82
2026-02-03 00:45:00,0.0,0.0,41.81
2026-02-03 01:00:00,0.0,0.0,40.86
2026-02-03 01:15:00,0.0,0.0,39.96
2026-02-03 01:30:00,0.0,0.0,39.13
2026-02-03 01:45:00,0.0,0.0,38.37
2026-02-03 02:00:00,0.0,0.0,37.68
2026-02-03 02:15:00,0.0,0.0,37.06
2026-02-03 02:30:00,0.0,0.0,36.52
2026-02-03 02:45:00,0.0,0.0,36.06
2026-02-03 03:00:00,0.0,0.0,35.68
2026-02-03 03:15:00,0.0,0.0,35.38
2026-02-03 03:30:00,0.0,0.0,35.17
2026-02-03 03:45:00,0.0,0.0,332.58
2026-02-03 04:00:00,0.0,0.0,35.0
2026-02-03 04:15:00,0.0,0.0,35.04
2026-02-03 04:30:00,0.0,0.0,35.17
2026-02-03 04:45:00,0.0,0.0,35.38
2026-02-03 05:00:00,0.0,0.0,35.68
2026-02-03 05:15:00,0.0,0.0,36.06
2026-02-03 05:30:00,0.0,0.0,36.52
2026-02-03 05:45:00,0.0,0.0,37.06
2026-02-03 06:00:00,0.0,0.0,37.68
2026-02-03 06:15:00,3.68,4.04,38.37
2026-02-03 06:30:00,5.51,7.48,336.67
2026-02-03 06:45:00,12.06,12.72,39.96
2026-02-03 07:00:00,13.46,14.74,40.86
2026-02-03 07:15:00,17.15,18.61,41.81
