hour,dam_lmp,rtm_lmp,load_mw,wind_mw,solar_mw,date,note
0,22.50,19.80,42000,18500,0,2024-06-01,Mon overnight
1,20.10,17.50,40500,19200,0,2024-06-01,
2,18.75,16.20,39200,19800,0,2024-06-01,
3,17.90,15.80,38800,20100,0,2024-06-01,
4,19.25,18.10,39500,19500,0,2024-06-01,
5,24.50,22.80,41200,17800,200,2024-06-01,pre-dawn ramp
6,32.00,30.50,44500,15200,2800,2024-06-01,morning ramp
7,45.00,48.20,48200,12500,6500,2024-06-01,
8,52.30,55.10,52800,10800,11200,2024-06-01,solar ramp
9,48.50,44.20,55200,9500,15800,2024-06-01,solar suppression
10,42.10,38.50,56800,8800,18500,2024-06-01,midday solar peak
11,38.20,35.80,57500,8200,19800,2024-06-01,
12,36.50,33.90,57800,7900,20200,2024-06-01,solar max
13,40.80,43.50,58200,8500,19500,2024-06-01,
14,55.20,62.30,60500,9200,17800,2024-06-01,afternoon heat
15,78.50,95.20,63200,10800,14200,2024-06-01,AC load surge
16,125.00,185.50,66800,11500,9800,2024-06-01,evening peak
17,210.00,380.00,68500,12200,5200,2024-06-01,scarcity pricing
18,185.00,290.00,67200,13800,1800,2024-06-01,
19,95.00,120.50,64500,15200,200,2024-06-01,sunset duck
20,62.50,58.80,60200,16800,0,2024-06-01,evening wind
21,45.20,42.50,55800,17500,0,2024-06-01,
22,32.80,30.20,50200,18200,0,2024-06-01,
23,25.50,23.10,45500,18800,0,2024-06-01,
