timestamp,Actual_MW,Theoretical_MW,PML_USD
2024-06-01 00:00:00,0.0,0.0,35.0
2024-06-01 00:15:00,0.0,0.0,33.5
2024-06-01 00:30:00,0.0,0.0,32.2
2024-06-01 00:45:00,0.0,0.0,31.1
2024-06-01 01:00:00,0.0,0.0,30.2
2024-06-01 05:00:00,0.0,0.0,28.5
2024-06-01 05:15:00,0.0,0.0,29.0
2024-06-01 05:30:00,0.0,0.0,29.8
2024-06-01 05:45:00,0.0,0.0,30.8
2024-06-01 06:00:00,0.0,0.0,32.0
2024-06-01 06:15:00,5.2,6.0,33.5
2024-06-01 06:30:00,11.4,13.0,35.2
2024-06-01 06:45:00,17.8,19.5,37.1
2024-06-01 07:00:00,23.5,25.8,39.2
2024-06-01 07:15:00,29.1,32.0,41.5
2024-06-01 07:30:00,35.2,38.5,43.8
2024-06-01 07:45:00,40.8,44.2,46.1
2024-06-01 08:00:00,46.0,50.5,48.5
2024-06-01 08:15:00,51.2,56.0,50.8
2024-06-01 08:30:00,55.8,61.2,53.0
2024-06-01 08:45:00,60.1,66.5,55.2
2024-06-01 09:00:00,65.5,72.0,57.3
2024-06-01 09:15:00,70.2,77.8,59.2
2024-06-01 09:30:00,74.5,82.5,60.8
2024-06-01 09:45:00,78.1,86.0,62.1
2024-06-01 10:00:00,81.2,89.5,63.0
2024-06-01 10:15:00,83.8,92.0,63.5
2024-06-01 10:30:00,86.1,94.2,63.8
2024-06-01 10:45:00,87.8,95.8,64.0
2024-06-01 11:00:00,89.2,97.0,64.1
2024-06-01 11:15:00,90.1,98.5,64.0
2024-06-01 11:30:00,90.5,99.2,63.8
2024-06-01 11:45:00,90.2,99.5,63.5
2024-06-01 12:00:00,89.5,99.0,63.0
2024-06-01 12:15:00,88.5,98.0,62.3
2024-06-01 12:30:00,87.0,96.5,61.5
2024-06-01 12:45:00,85.2,94.5,60.5
2024-06-01 13:00:00,82.8,92.0,59.3
2024-06-01 13:15:00,80.0,89.0,58.0
2024-06-01 13:30:00,76.8,85.5,56.5
2024-06-01 13:45:00,73.2,81.5,55.0
2024-06-01 14:00:00,69.2,77.0,53.2
2024-06-01 14:15:00,64.8,72.0,51.3
2024-06-01 14:30:00,60.1,66.5,49.2
2024-06-01 14:45:00,55.0,60.5,47.0
2024-06-01 15:00:00,49.5,54.0,44.8
2024-06-01 15:15:00,43.5,47.2,42.5
2024-06-01 15:30:00,37.2,40.0,40.1
2024-06-01 15:45:00,30.5,32.5,37.8
2024-06-01 16:00:00,23.5,25.0,35.5
2024-06-01 16:15:00,16.2,17.5,33.2
2024-06-01 16:30:00,9.0,10.0,31.0
2024-06-01 16:45:00,3.5,4.0,29.0
2024-06-01 17:00:00,0.0,0.0,35.0
2024-06-01 17:15:00,0.0,0.0,34.0
2024-06-01 17:30:00,0.0,0.0,33.0
2024-06-01 17:45:00,0.0,0.0,32.0
2024-06-01 18:00:00,0.0,0.0,31.0
