"Table 2.8.7. Percent Change From Preceding Period in Prices for Personal Consumption Expenditures by Major Type of Product, Monthly",,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.8.7. Percent Change From Preceding Period in Prices for Personal Consumption Expenditures by Major Type of Product, Monthly",,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: December 20, 2024 - Next Release Date January 31, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Line,,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Line,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
1,        Personal consumption expenditures (PCE),0.5,0.3,0.1,0.3,0.1,0.2,0.1,0.3,0.3,0,0,0.2,0.4,0.3,0.3,0.3,0,0.1,0.2,0.1,0.2,0.2,0.1
2,Goods,0.5,0.2,-0.2,0.3,-0.1,-0.1,-0.3,0.6,0.2,-0.3,-0.5,-0.2,-0.2,0.5,0.1,0.2,-0.4,-0.2,0,-0.2,-0.1,-0.1,0
3,    Durable goods,0.3,0,-0.1,0,0.1,-0.3,-0.7,-0.4,0,-0.2,-0.5,-0.4,0.2,0.1,0.1,-0.2,-0.8,0,-0.3,-0.2,0.3,0.1,0
4,        Motor vehicles and parts,-0.2,-0.5,0.1,1,0.9,-0.2,-0.6,-0.4,-0.6,-0.3,0.7,0.1,-0.8,0.1,-0.5,-0.5,0,-0.6,-0.7,-0.2,0.3,0.9,0.7
5,        Furnishings and durable household equipment,0.6,0.1,-0.2,-0.8,-0.6,-0.3,-0.2,0.1,-0.5,0,-1.3,-0.2,0.5,-0.3,0.2,-0.8,-1,-0.1,-0.3,0.1,0.5,0,0
6,        Recreational goods and vehicles,0.6,0.4,-0.3,-0.7,-0.2,-0.7,-1.2,-0.8,1.2,-0.4,-1.2,-1.7,1.6,1.2,0.4,0.2,-1.6,0,0.1,-0.2,-0.3,-0.5,-0.6
7,        Other durable goods,0,0.1,0.1,0.3,0.1,0.3,-0.1,-0.4,-0.3,-0.2,-0.6,0.7,-0.7,-1.3,0.6,0.6,-0.4,1.8,-0.4,-0.9,1.7,-0.6,0
8,    Nondurable goods,0.6,0.3,-0.2,0.4,-0.2,0.1,0,1.1,0.3,-0.3,-0.6,-0.1,-0.4,0.6,0.2,0.5,-0.1,-0.3,0.1,-0.1,-0.4,-0.1,0
9,        Food and beverages purchased for off-premises consumption,0.5,0.2,-0.1,0,0.2,0,0.2,0.2,0.2,0.2,-0.1,0,0.5,0.1,0,-0.2,0.1,0.1,0.2,0.1,0.4,0,0.2
10,        Clothing and footwear,0.3,0.5,0.3,0.3,0.3,0.1,0.1,0.2,-0.3,-0.1,-0.7,-0.1,-0.7,1,0.6,1.2,-0.3,-0.3,-0.3,0.5,0.7,-1.4,0.1
11,        Gasoline and other energy goods,1,0.5,-3.4,2.4,-4.4,0.6,-0.2,8.2,1.9,-4.2,-3.7,-0.7,-3.3,3.4,1.4,2.5,-3.4,-3.5,0.1,-0.6,-4,-1,0.5
12,        Other nondurable goods,0.7,0.3,0.6,0.2,0.5,0,-0.3,0.2,0,0.4,0,-0.1,-0.2,0.3,-0.1,0.2,0.7,0.3,0.2,-0.3,-0.4,0.4,-0.3
13,Services,0.5,0.4,0.3,0.4,0.3,0.4,0.3,0.2,0.4,0.2,0.3,0.3,0.7,0.2,0.4,0.3,0.2,0.3,0.3,0.2,0.3,0.4,0.2
14,    Household consumption expenditures (for services),0.5,0.4,0.2,0.4,0.2,0.4,0.3,0.2,0.4,0.2,0.3,0.3,0.7,0.2,0.4,0.3,0.1,0.2,0.2,0.2,0.3,0.4,0.2
15,        Housing and utilities,0.8,0.5,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.6,0.5,0.5,0.3,0.4,0.2,0.4,0.3,0.4,0.4,0.2
16,        Health care,0,0.3,0.3,0.4,0.3,0,0.4,0,0,0.5,0.2,0.2,0.6,0.2,0.2,0.1,0.3,0.2,0,0.1,0.3,0.2,0.2
17,        Transportation services,0.9,0.6,0.7,-0.9,0.1,-0.2,1.1,-0.1,0.8,0.2,0.9,-0.4,0,0.3,1.5,-0.7,-0.4,-0.5,0.2,0.3,1.1,0.5,-0.5
