timestamp,Actual_MW,Theoretical_MW,PML_USD
2026-02-01 00:00:00,0.0,0.0,36.69
2026-02-01 00:15:00,0.0,0.0,37.74
2026-02-01 00:30:00,0.0,0.0,35.28
2026-02-01 00:45:00,0.0,0.0,34.92
2026-02-01 01:00:00,0.0,0.0,33.42
2026-02-01 01:15:00,0.0,0.0,32.85
2026-02-01 01:30:00,0.0,0.0,32.0
2026-02-01 01:45:00,0.0,0.0,30.72
2026-02-01 02:00:00,0.0,0.0,30.46
2026-02-01 02:15:00,0.0,0.0,31.42
2026-02-01 02:30:00,0.0,0.0,27.98
2026-02-01 02:45:00,0.0,0.0,30.15
2026-02-01 03:00:00,0.0,0.0,27.38
2026-02-01 03:15:00,0.0,0.0,27.26
2026-02-01 03:30:00,0.0,0.0,28.96
2026-02-01 03:45:00,0.0,0.0,28.89
2026-02-01 04:00:00,0.0,0.0,28.87
2026-02-01 04:15:00,0.0,0.0,29.73
2026-02-01 04:30:00,0.0,0.0,27.49
2026-02-01 04:45:00,0.0,0.0,31.15
2026-02-01 05:00:00,0.0,0.0,29.3
2026-02-01 05:15:00,0.0,0.0,28.57
2026-02-01 05:30:00,0.0,0.0,30.04
2026-02-01 05:45:00,0.0,0.0,29.46
2026-02-01 06:00:00,0.0,0.0,28.19
2026-02-01 06:15:00,0.0,0.0,29.68
2026-02-01 06:30:00,0.0,0.0,32.65
2026-02-01 06:45:00,0.0,0.0,410.48
2026-02-01 07:00:00,0.0,0.0,33.5
2026-02-01 07:15:00,0.14,0.14,36.26
2026-02-01 07:30:00,4.3,4.79,36.19
2026-02-01 07:45:00,9.85,10.95,35.76
2026-02-01 08:00:00,16.58,17.11,37.15
2026-02-01 08:15:00,22.7,25.14,38.07
2026-02-01 08:30:00,28.53,31.77,41.02
2026-02-01 08:45:00,35.95,40.28,41.38
2026-02-01 09:00:00,38.89,42.53,41.43
2026-02-01 09:15:00,50.48,55.47,43.41
2026-02-01 09:30:00,51.15,57.36,43.6
2026-02-01 09:45:00,56.95,62.88,43.18
2026-02-01 10:00:00,66.27,71.75,43.37
2026-02-01 10:15:00,69.7,76.12,48.47
2026-02-01 10:30:00,74.57,83.49,45.55
2026-02-01 10:45:00,50.61,84.27,49.47
2026-02-01 11:00:00,75.13,84.19,47.02
2026-02-01 11:15:00,81.35,89.12,52.75
2026-02-01 11:30:00,55.46,88.42,53.81
2026-02-01 11:45:00,86.63,93.22,55.37
2026-02-01 12:00:00,87.08,92.26,55.39
2026-02-01 12:15:00,84.72,87.85,55.41
2026-02-01 12:30:00,80.95,89.92,57.48
2026-02-01 12:45:00,82.78,89.33,57.74
2026-02-01 13:00:00,82.06,85.06,57.68
2026-02-01 13:15:00,76.2,83.54,57.13
2026-02-01 13:30:00,72.7,79.98,61.01
2026-02-01 13:45:00,67.33,75.75,423.37
2026-02-01 14:00:00,66.72,70.45,58.3
2026-02-01 14:15:00,61.55,65.26,60.29
2026-02-01 14:30:00,52.2,57.47,60.72
2026-02-01 14:45:00,48.07,52.71,62.62
2026-02-01 15:00:00,43.5,45.93,63.99
2026-02-01 15:15:00,27.69,38.57,63.61
2026-02-01 15:30:00,28.95,30.54,62.71
2026-02-01 15:45:00,21.71,24.23,63.37
2026-02-01 16:00:00,16.63,17.53,64.53
2026-02-01 16:15:00,10.48,11.75,61.69
2026-02-01 16:30:00,4.61,5.07,66.56
2026-02-01 16:45:00,0.15,0.16,65.13
2026-02-01 17:00:00,0.0,0.0,64.2
2026-02-01 17:15:00,0.0,0.0,62.34
2026-02-01 17:30:00,0.0,0.0,63.15
2026-02-01 17:45:00,0.0,0.0,62.13
2026-02-01 18:00:00,0.0,0.0,60.97
2026-02-01 18:15:00,0.0,0.0,60.49
2026-02-01 18:30:00,0.0,0.0,60.99
2026-02-01 18:45:00,0.0,0.0,58.85
2026-02-01 19:00:00,0.0,0.0,57.97
2026-02-01 19:15:00,0.0,0.0,56.09
2026-02-01 19:30:00,0.0,0.0,57.95
2026-02-01 19:45:00,0.0,0.0,54.37
2026-02-01 20:00:00,0.0,0.0,55.97
2026-02-01 20:15:00,0.0,0.0,53.83
2026-02-01 20:30:00,0.0,0.0,52.1
2026-02-01 20:45:00,0.0,0.0,51.79
2026-02-01 21:00:00,0.0,0.0,50.29
2026-02-01 21:15:00,0.0,0.0,50.44
2026-02-01 21:30:00,0.0,0.0,47.4
2026-02-01 21:45:00,0.0,0.0,44.86
2026-02-01 22:00:00,0.0,0.0,43.92
2026-02-01 22:15:00,0.0,0.0,44.12
2026-02-01 22:30:00,0.0,0.0,43.15
2026-02-01 22:45:00,0.0,0.0,43.77
2026-02-01 23:00:00,0.0,0.0,41.85
2026-02-01 23:15:00,0.0,0.0,36.96
2026-02-01 23:30:00,0.0,0.0,36.07
2026-02-01 23:45:00,0.0,0.0,38.03
2026-02-02 00:00:00,0.0,0.0,40.9
2026-02-02 00:15:00,0.0,0.0,33.93
2026-02-02 00:30:00,0.0,0.0,456.62
2026-02-02 00:45:00,0.0,0.0,31.97
2026-02-02 01:00:00,0.0,0.0,33.36
2026-02-02 01:15:00,0.0,0.0,31.29
2026-02-02 01:30:00,0.0,0.0,31.14
2026-02-02 01:45:00,0.0,0.0,32.79
2026-02-02 02:00:00,0.0,0.0,30.1
2026-02-02 02:15:00,0.0,0.0,29.63
2026-02-02 02:30:00,0.0,0.0,29.59
2026-02-02 02:45:00,0.0,0.0,32.32
2026-02-02 03:00:00,0.0,0.0,32.78
2026-02-02 03:15:00,0.0,0.0,26.1
2026-02-02 03:30:00,0.0,0.0,28.07
2026-02-02 03:45:00,0.0,0.0,26.66
2026-02-02 04:00:00,0.0,0.0,28.77
2026-02-02 04:15:00,0.0,0.0,29.67
2026-02-02 04:30:00,0.0,0.0,27.04
2026-02-02 04:45:00,0.0,0.0,29.25
2026-02-02 05:00:00,0.0,0.0,27.72
2026-02-02 05:15:00,0.0,0.0,30.82
2026-02-02 05:30:00,0.0,0.0,29.01
2026-02-02 05:45:00,0.0,0.0,29.72
2026-02-02 06:00:00,0.0,0.0,29.86
2026-02-02 06:15:00,0.0,0.0,29.87
2026-02-02 06:30:00,0.0,0.0,32.9
2026-02-02 06:45:00,0.0,0.0,32.29
2026-02-02 07:00:00,0.0,0.0,34.1
2026-02-02 07:15:00,0.25,0.28,34.43
2026-02-02 07:30:00,4.51,4.79,33.48
2026-02-02 07:45:00,9.54,10.66,37.43
2026-02-02 08:00:00,15.01,16.22,35.93
2026-02-02 08:15:00,22.17,22.98,39.24
2026-02-02 08:30:00,26.29,29.54,39.6
2026-02-02 08:45:00,33.97,37.92,39.17
2026-02-02 09:00:00,35.71,40.29,40.19
2026-02-02 09:15:00,42.28,47.17,46.57
2026-02-02 09:30:00,49.22,53.24,47.01
2026-02-02 09:45:00,56.45,61.37,45.36
2026-02-02 10:00:00,61.1,67.13,47.16
2026-02-02 10:15:00,64.66,70.34,46.65
2026-02-02 10:30:00,69.68,74.27,49.2
2026-02-02 10:45:00,72.97,77.1,50.92
2026-02-02 11:00:00,73.07,78.54,50.2
2026-02-02 11:15:00,74.62,80.72,52.38
2026-02-02 11:30:00,78.27,83.95,52.09
2026-02-02 11:45:00,75.68,85.43,53.55
2026-02-02 12:00:00,76.29,84.17,54.15
2026-02-02 12:15:00,85.4,88.2,56.61
2026-02-02 12:30:00,80.7,87.15,54.51
2026-02-02 12:45:00,74.43,81.9,55.25
2026-02-02 13:00:00,77.99,81.13,60.61
2026-02-02 13:15:00,67.52,74.52,58.64
2026-02-02 13:30:00,68.71,73.78,58.72
2026-02-02 13:45:00,64.75,68.03,59.47
2026-02-02 14:00:00,58.66,64.15,62.11
2026-02-02 14:15:00,53.52,59.56,61.43
2026-02-02 14:30:00,49.68,55.32,62.94
2026-02-02 14:45:00,43.64,47.72,64.59
2026-02-02 15:00:00,37.74,41.17,62.06
2026-02-02 15:15:00,23.53,35.56,62.6
2026-02-02 15:30:00,25.77,28.69,63.35
2026-02-02 15:45:00,21.24,23.51,62.6
2026-02-02 16:00:00,13.69,15.35,62.55
2026-02-02 16:15:00,10.08,10.68,62.58
2026-02-02 16:30:00,4.43,4.8,62.54
2026-02-02 16:45:00,0.27,0.29,64.11
2026-02-02 17:00:00,0.0,0.0,64.23
