timestamp,Actual_MW,Theoretical_MW,PML_USD
2026-02-01 00:00:00,0.0,0.0,42.71
2026-02-01 00:15:00,0.0,0.0,38.77
2026-02-01 00:30:00,0.0,0.0,40.63
2026-02-01 00:45:00,0.0,0.0,40.96
2026-02-01 01:00:00,0.0,0.0,367.64
2026-02-01 01:15:00,0.0,0.0,37.72
2026-02-01 01:30:00,0.0,0.0,35.68
2026-02-01 01:45:00,0.0,0.0,34.7
2026-02-01 02:00:00,0.0,0.0,32.99
2026-02-01 02:15:00,0.0,0.0,32.36
2026-02-01 02:30:00,0.0,0.0,31.46
2026-02-01 02:45:00,0.0,0.0,33.66
2026-02-01 03:00:00,0.0,0.0,32.49
2026-02-01 03:15:00,0.0,0.0,35.32
2026-02-01 03:30:00,0.0,0.0,30.04
2026-02-01 03:45:00,0.0,0.0,31.02
2026-02-01 04:00:00,0.0,0.0,30.75
2026-02-01 04:15:00,0.0,0.0,31.76
2026-02-01 04:30:00,0.0,0.0,30.35
2026-02-01 04:45:00,0.0,0.0,34.21
2026-02-01 05:00:00,0.0,0.0,34.51
2026-02-01 05:15:00,0.0,0.0,33.08
2026-02-01 05:30:00,0.0,0.0,31.69
2026-02-01 05:45:00,0.0,0.0,34.25
2026-02-01 06:00:00,0.0,0.0,36.27
2026-02-01 06:15:00,0.0,0.0,33.9
2026-02-01 06:30:00,0.0,0.0,35.6
2026-02-01 06:45:00,0.0,0.0,39.16
2026-02-01 07:00:00,0.0,0.0,35.52
2026-02-01 07:15:00,0.06,0.06,36.82
2026-02-01 07:30:00,1.72,1.95,39.98
2026-02-01 07:45:00,3.68,4.12,41.52
2026-02-01 08:00:00,5.88,6.44,42.4
2026-02-01 08:15:00,9.21,10.14,44.64
2026-02-01 08:30:00,12.28,12.81,45.53
2026-02-01 08:45:00,13.22,14.53,376.14
2026-02-01 09:00:00,16.58,17.58,49.2
2026-02-01 09:15:00,17.68,19.17,53.16
2026-02-01 09:30:00,21.94,22.74,52.75
2026-02-01 09:45:00,23.16,25.45,49.5
2026-02-01 10:00:00,25.8,26.76,53.6
2026-02-01 10:15:00,24.77,27.98,55.2
2026-02-01 10:30:00,29.53,31.91,56.47
2026-02-01 10:45:00,30.32,31.75,61.49
2026-02-01 11:00:00,31.79,33.87,62.19
2026-02-01 11:15:00,32.02,34.72,64.58
2026-02-01 11:30:00,35.89,37.97,64.22
2026-02-01 11:45:00,17.66,34.06,67.66
2026-02-01 12:00:00,32.81,35.33,66.75
2026-02-01 12:15:00,33.56,35.4,67.86
2026-02-01 12:30:00,31.89,35.22,71.18
2026-02-01 12:45:00,22.12,33.62,71.56
2026-02-01 13:00:00,33.55,35.05,71.26
2026-02-01 13:15:00,28.5,31.86,73.89
2026-02-01 13:30:00,26.97,30.62,70.99
2026-02-01 13:45:00,26.75,28.49,76.7
2026-02-01 14:00:00,25.7,26.64,77.15
2026-02-01 14:15:00,24.93,26.05,75.76
2026-02-01 14:30:00,19.57,21.87,77.28
2026-02-01 14:45:00,19.2,20.18,491.91
2026-02-01 15:00:00,15.92,17.3,80.77
2026-02-01 15:15:00,13.1,14.86,77.41
2026-02-01 15:30:00,11.75,12.44,77.44
2026-02-01 15:45:00,9.19,9.54,79.39
2026-02-01 16:00:00,5.88,6.59,80.18
2026-02-01 16:15:00,3.58,3.95,77.37
2026-02-01 16:30:00,1.73,1.94,78.1
2026-02-01 16:45:00,0.06,0.06,77.08
2026-02-01 17:00:00,0.0,0.0,78.27
2026-02-01 17:15:00,0.0,0.0,76.22
2026-02-01 17:30:00,0.0,0.0,75.47
2026-02-01 17:45:00,0.0,0.0,74.95
2026-02-01 18:00:00,0.0,0.0,74.85
2026-02-01 18:15:00,0.0,0.0,76.0
2026-02-01 18:30:00,0.0,0.0,74.39
2026-02-01 18:45:00,0.0,0.0,74.9
2026-02-01 19:00:00,0.0,0.0,71.91
2026-02-01 19:15:00,0.0,0.0,71.75
2026-02-01 19:30:00,0.0,0.0,504.39
2026-02-01 19:45:00,0.0,0.0,65.67
2026-02-01 20:00:00,0.0,0.0,67.98
2026-02-01 20:15:00,0.0,0.0,64.32
2026-02-01 20:30:00,0.0,0.0,62.59
2026-02-01 20:45:00,0.0,0.0,375.23
2026-02-01 21:00:00,0.0,0.0,62.67
2026-02-01 21:15:00,0.0,0.0,57.72
2026-02-01 21:30:00,0.0,0.0,53.84
2026-02-01 21:45:00,0.0,0.0,55.35
2026-02-01 22:00:00,0.0,0.0,53.79
2026-02-01 22:15:00,0.0,0.0,49.83
2026-02-01 22:30:00,0.0,0.0,55.85
2026-02-01 22:45:00,0.0,0.0,49.63
2026-02-01 23:00:00,0.0,0.0,51.2
2026-02-01 23:15:00,0.0,0.0,49.01
2026-02-01 23:30:00,0.0,0.0,46.33
2026-02-01 23:45:00,0.0,0.0,46.46
2026-02-02 00:00:00,0.0,0.0,46.34
2026-02-02 00:15:00,0.0,0.0,43.07
2026-02-02 00:30:00,0.0,0.0,38.65
2026-02-02 00:45:00,0.0,0.0,39.09
2026-02-02 01:00:00,0.0,0.0,37.59
2026-02-02 01:15:00,0.0,0.0,38.36
2026-02-02 01:30:00,0.0,0.0,36.79
2026-02-02 01:45:00,0.0,0.0,37.84
2026-02-02 02:00:00,0.0,0.0,31.84
2026-02-02 02:15:00,0.0,0.0,32.75
2026-02-02 02:30:00,0.0,0.0,29.71
2026-02-02 02:45:00,0.0,0.0,30.99
2026-02-02 03:00:00,0.0,0.0,29.67
2026-02-02 03:15:00,0.0,0.0,31.78
2026-02-02 03:30:00,0.0,0.0,32.34
2026-02-02 03:45:00,0.0,0.0,29.91
2026-02-02 04:00:00,0.0,0.0,27.9
2026-02-02 04:15:00,0.0,0.0,31.15
2026-02-02 04:30:00,0.0,0.0,30.05
2026-02-02 04:45:00,0.0,0.0,32.24
2026-02-02 05:00:00,0.0,0.0,33.11
2026-02-02 05:15:00,0.0,0.0,420.75
2026-02-02 05:30:00,0.0,0.0,34.99
2026-02-02 05:45:00,0.0,0.0,30.03
2026-02-02 06:00:00,0.0,0.0,30.13
2026-02-02 06:15:00,0.0,0.0,31.28
2026-02-02 06:30:00,0.0,0.0,33.84
2026-02-02 06:45:00,0.0,0.0,38.43
2026-02-02 07:00:00,0.0,0.0,38.48
2026-02-02 07:15:00,0.11,0.12,40.25
2026-02-02 07:30:00,1.72,1.93,42.81
2026-02-02 07:45:00,3.74,4.18,40.88
2026-02-02 08:00:00,6.37,6.7,43.51
2026-02-02 08:15:00,8.29,9.2,45.1
2026-02-02 08:30:00,11.14,12.56,45.91
2026-02-02 08:45:00,14.14,15.07,379.25
2026-02-02 09:00:00,16.45,17.64,46.62
2026-02-02 09:15:00,17.85,18.87,49.89
2026-02-02 09:30:00,19.65,21.67,50.56
2026-02-02 09:45:00,22.37,23.99,54.62
2026-02-02 10:00:00,25.03,26.04,57.79
2026-02-02 10:15:00,26.63,30.09,59.25
2026-02-02 10:30:00,28.85,30.69,58.02
2026-02-02 10:45:00,28.05,31.75,57.68
2026-02-02 11:00:00,28.37,32.1,59.54
2026-02-02 11:15:00,29.87,33.46,64.52
2026-02-02 11:30:00,30.86,33.95,66.4
2026-02-02 11:45:00,32.21,33.25,65.04
2026-02-02 12:00:00,34.53,36.26,65.95
2026-02-02 12:15:00,32.29,34.74,67.51
2026-02-02 12:30:00,30.57,33.77,71.2
2026-02-02 12:45:00,30.65,32.82,70.49
2026-02-02 13:00:00,29.33,33.21,73.77
2026-02-02 13:15:00,29.06,31.99,72.84
2026-02-02 13:30:00,28.05,30.86,71.13
2026-02-02 13:45:00,26.98,30.59,76.91
2026-02-02 14:00:00,25.26,26.66,73.03
